lemma,PoS,freq,perMil,length,syllable_count,phonological_complexity,age_group,frequency_category,difficulty
particularly,r,104018,104.75,12,5,0,11-12,high,easy
understanding,n,72651,73.16,13,4,2,11-12,high,easy
possibility,n,69316,69.8,11,5,0,11-12,high,easy
constitutional,j,28065,28.26,14,5,0,11-12,high,easy
biological,j,26435,26.62,10,5,0,11-12,high,easy
cooperation,n,23135,23.3,11,5,0,11-12,high,easy
manufacturing,n,21096,21.24,13,4,1,11-12,high,easy
demonstration,n,19226,19.36,13,4,1,11-12,high,easy
creativity,n,14474,14.58,10,5,0,11-12,high,easy
instructional,j,13944,14.04,13,3,1,11-12,high,easy
ideological,j,12746,12.84,11,6,0,11-12,high,easy
unnecessary,j,11789,11.87,11,5,0,11-12,high,easy
refrigerator,n,11247,11.33,12,5,0,11-12,high,easy
modification,n,11030,11.11,12,5,0,11-12,high,easy
positively,r,10579,10.65,10,5,0,11-12,high,easy
accidentally,r,8623,8.68,12,5,1,11-12,high,easy
straightforward,j,8110,8.17,15,3,2,11-12,high,hard
interestingly,r,7800,7.85,13,5,2,11-12,high,easy
adequately,r,7097,7.15,10,5,0,11-12,high,easy
unpredictable,j,6569,6.62,13,5,1,11-12,high,easy
congratulations,n,6403,6.45,15,5,0,11-12,high,hard
contamination,n,6100,6.14,13,5,1,11-12,high,easy
internationally,r,6008,6.05,15,6,1,11-12,high,hard
unconstitutional,j,5823,5.86,16,6,0,11-12,high,hard
cardiovascular,j,5731,5.77,14,5,0,11-12,high,easy
accessibility,n,4640,4.67,13,6,0,11-12,high,easy
inflammatory,j,4454,4.49,12,5,0,11-12,high,easy
exceptionally,r,4256,4.29,13,5,0,11-12,high,easy
experimentation,n,3925,3.95,15,6,1,11-12,high,hard
unauthorized,j,3817,3.84,12,5,1,11-12,high,easy
scientifically,r,3770,3.8,14,5,2,11-12,high,easy
determination,n,3612,3.64,13,5,0,11-12,high,easy
retrospective,j,3444,3.47,13,4,0,11-12,high,easy
dissatisfaction,n,3434,3.46,15,5,0,11-12,high,hard
computational,j,3336,3.36,13,5,0,11-12,high,easy
incarceration,n,3251,3.27,13,5,0,11-12,high,easy
computerized,j,3239,3.26,12,5,1,11-12,high,easy
comparatively,r,3153,3.18,13,6,0,11-12,high,easy
relativity,n,2988,3.01,10,5,0,11-12,high,easy
assimilation,n,2949,2.97,12,5,0,11-12,high,easy
accelerated,j,2883,2.9,11,5,1,11-12,high,easy
hallucination,n,2856,2.88,13,5,0,11-12,high,easy
accelerator,n,2830,2.85,11,5,0,11-12,high,easy
professionalism,n,2743,2.76,15,5,0,11-12,high,hard
veterinarian,n,2604,2.62,12,5,0,11-12,high,easy
conceptualize,v,2470,2.49,13,4,0,11-12,high,easy
understatement,n,2368,2.38,14,5,2,11-12,high,easy
apocalyptic,j,2351,2.37,11,5,0,11-12,high,easy
metaphorical,j,2238,2.25,12,5,1,11-12,high,easy
overestimate,v,2179,2.19,12,5,0,11-12,high,easy
schoolteacher,n,2148,2.16,13,3,1,11-12,high,easy
categorical,j,2078,2.09,11,5,0,11-12,high,easy
wholeheartedly,r,2043,2.06,14,5,2,11-12,high,easy
regularity,n,2039,2.05,10,5,0,11-12,high,easy
