Word,Age Group,Difficulty Level
of,5-6 years,Easy
do,5-6 years,Easy
they,5-6 years,Moderate
she,5-6 years,Moderate
about,7-8 years,Moderate
there,7-8 years,Moderate
him,5-6 years,Moderate
could,7-8 years,Moderate
no,5-6 years,Easy
man,5-6 years,Moderate
very,5-6 years,Moderate
work,5-6 years,Moderate
call,5-6 years,Moderate
in,5-6 years,Easy
as,5-6 years,Easy
help,5-6 years,Moderate
every,7-8 years,Moderate
yes,5-6 years,Moderate
its,5-6 years,Moderate
hand,5-6 years,Moderate
about,7-8 years,Moderate
without,9-10 years,Moderate
story,7-8 years,Moderate
begin,7-8 years,Moderate
fact,5-6 years,Moderate
maybe,7-8 years,Moderate
issue,7-8 years,Moderate
though,7-8 years,Moderate
best,5-6 years,Moderate
both,5-6 years,Moderate
much,5-6 years,Moderate
four,5-6 years,Moderate
car,5-6 years,Moderate
back,5-6 years,Moderate
member,7-8 years,Moderate
whether,9-10 years,Moderate
stay,5-6 years,Moderate
die,5-6 years,Moderate
office,7-8 years,Moderate
grow,5-6 years,Moderate
second,7-8 years,Moderate
low,5-6 years,Moderate
whole,7-8 years,Moderate
hard,5-6 years,Moderate
police,7-8 years,Moderate
break,7-8 years,Moderate
listen,7-8 years,Moderate
full,5-6 years,Moderate
local,7-8 years,Moderate
value,7-8 years,Moderate
explain,9-10 years,Moderate
movie,7-8 years,Moderate
difference,11-12 years,Hard
effort,7-8 years,Moderate
because,9-10 years,Moderate
need,5-6 years,Moderate
situation,11-12 years,Moderate
share,7-8 years,Moderate
simply,7-8 years,Moderate
open,5-6 years,Moderate
save,5-6 years,Moderate
guess,7-8 years,Moderate
election,9-10 years,Moderate
certain,9-10 years,Moderate
available,11-12 years,Moderate
current,9-10 years,Moderate
list,5-6 years,Moderate
fire,5-6 years,Moderate
author,7-8 years,Moderate
note,5-6 years,Moderate
nearly,7-8 years,Moderate
top,5-6 years,Moderate
worker,7-8 years,Moderate
race,5-6 years,Moderate
poor,5-6 years,Moderate
enjoy,7-8 years,Moderate
defense,9-10 years,Moderate
century,9-10 years,Moderate
animal,7-8 years,Moderate
mile,5-6 years,Moderate
compare,9-10 years,Moderate
sister,7-8 years,Moderate
thus,5-6 years,Moderate
candidate,11-12 years,Moderate
somebody,9-10 years,Moderate
meeting,9-10 years,Moderate
imagine,9-10 years,Moderate
disease,9-10 years,Moderate
apply,7-8 years,Moderate
rise,5-6 years,Moderate
set,5-6 years,Moderate
method,7-8 years,Moderate
shit,5-6 years,Moderate
interview,11-12 years,Moderate
blue,5-6 years,Moderate
environment,11-12 years,Hard
river,7-8 years,Moderate
bit,5-6 years,Moderate
absolutely,11-12 years,Hard
trouble,9-10 years,Moderate
seat,5-6 years,Moderate
necessary,11-12 years,Moderate
democratic,11-12 years,Hard
address,9-10 years,Moderate
management,11-12 years,Hard
tomorrow,9-10 years,Moderate
stick,7-8 years,Moderate
discover,9-10 years,Moderate
user,5-6 years,Moderate
inside,7-8 years,Moderate
nor,5-6 years,Moderate
through,9-10 years,Moderate
mouth,7-8 years,Moderate
travel,7-8 years,Moderate
photograph,11-12 years,Hard
touch,7-8 years,Moderate
suffer,7-8 years,Moderate
heat,5-6 years,Moderate
judge,7-8 years,Moderate
fall,5-6 years,Moderate
internet,9-10 years,Moderate
